# Model row index (structured)

Use for model matching, Garment-TPO Gate, and scene brief. Prefer this over raw sheet scan.
Line names normalized to Strategy v3.1 canon. See `data/CQR_LINEUP_V31_OVERLAY.md`.

model | tier | line | temp | fabric | region | background | asin | sheet
TOS130 | L | Liberator-Modern | Scouting (7월~8월 초) : 10~32 | N트리코트메쉬 | - 미국 남부 소도시 | EXPEDITION RIDER |  | Shirts
TOS230 | L | Liberator-Modern | Scouting (7월~8월 초) : 10~32 | 인터락메쉬165->145 | - 미국 남부 소도시 | EXPEDITION RIDER |  | Shirts
TOS411 | L | Covert | Scouting (7월~8월 초) : 10~32 | 모션(P90/S10,135) | - 미국 남부 소도시 | EXPEDITION RIDER |  | Shirts
TOS420 | L | 확인필요(라인) | - | 확인필요 | - | - |  | 확인필요
TOS510 | L | Covert | Scouting (7월~8월 초) : 10~32 | 모션(P90/S10,135) | - 미국 남부 소도시 | EXPEDITION RIDER |  | Shirts
TOS511 | L | Covert | Scouting (7월~8월 초) : 10~32 | 모션(P90/S10,135) | - 미국 남부 소도시 | EXPEDITION RIDER |  | Shirts
HKJ002 | W | Liberator-Black | - | 항공점퍼 | 숲속 | - |  | FW_Jacket
HKJ003 | W | Liberator-Black | - | 항공점퍼 | 숲속 | - |  | FW_Jacket
HKJ501 | W | Covert | - | 항공점퍼 | 숲속 | - |  | FW_Jacket
HKJ502 | W | Liberator-Legacy | - | 항공점퍼 | 숲속 | - |  | FW_Jacket
HKJ503 | W | Liberator-Legacy | - | 항공점퍼 | 숲속 | - |  | FW_Jacket
HKZ200 | W | Liberator-Black | - | 항공점퍼 | 숲속 | - |  | FW_Jacket
HOK808 | M | Covert | - | 립스탑경량패딩 | 숲속 | - | B0DB7XLWD7 | FW_Jacket
HOK809 | M | Liberator-Modern | - | 립스탑경량패딩 | 숲속 | - | B0C44MKXSJ | FW_Jacket
HOK817 | M | Liberator-Modern | - | 립스탑경량패딩 | 숲속 | - | B095WCTJ7F | FW_Jacket
HOK832 | C | Covert | - | 쉐르파3L소프트쉘 | 숲속 | - | B0C7ZDPZDW | FW_Jacket
HOK833 | W | Covert | - | 플레인소프트쉘 | 숲속 | - | B0CY8MXDKT | FW_Jacket
HOK909 | W | Expedition-Rider | - | 항공점퍼 | 숲속 | - |  | FW_Jacket
HOS001 | W | Covert | - | 항공점퍼 | 숲속 | - |  | FW_Jacket
TLP001 | M | Sapper | - | 립스탑 | - | SAPPER |  | Sapper
TWP308 | M | Sapper | - | 립스탑 | - | SAPPER |  | Sapper
TWP320 | M | Sapper | - | 립스탑 | - | SAPPER |  | Sapper
TWP330 | M | Sapper | - | 립스탑 | - | SAPPER |  | Sapper
TWP707 | M | Sapper | - | 립스탑 | - | SAPPER |  | Sapper
TWP708 | M | Sapper | - | 트루워크T1 | - | SAPPER |  | Sapper
TWP720 | M | Sapper | - | 트루워크2 | - | SAPPER |  | Sapper
HKJ001 | W | Liberator-Black | - | 항공점퍼 | 숲속 | LO-CR / YKK reshoot |  | NEW_A+
HKZ204 | W | Covert | - | grid fleece | - | RAVEN grid heat management |  | NEW_A+
HKZ305 | W | Covert | - | 폴리스웨터 | - | 3COLOR MOVE UNRESTRICTED |  | NEW_A+
TOS121 | L | Liberator-Modern | - | 인터락메쉬165 | - | LO-TRN training (GO HARDER) |  | NEW_A+
TOS612 | M | Liberator-Modern | - | combat shirt | - | LO-SR field (colorway) |  | NEW_A+
WFP611 | M | Liberator-Modern | - | PC고신축사 | - | VANGUARD (colorway) |  | NEW_A+
WHP830 | C | Expedition-Alpinist | cold | thermal stretch softshell | - | women cold-weather trail |  | NEW_A+
HKZ210 | W | Covert | 가을 : 2°C ~ 10°C | 그리드플리스 | 사격장 | EXPEDITION HUNTER |  | FW_Tops
HKZ300 | W | Expedition-Rider | 가을 : 2°C ~ 10°C | 폴리스웨터 | 사격장 | EXPEDITION HUNTER |  | FW_Tops
HKZ303 | W | 확인필요(Covert) | 가을 : 2°C ~ 10°C | 폴리스웨터 | 사격장 | EXPEDITION HUNTER |  | FW_Tops
HLP010 | M | Expedition-Alpinist | - | 립스탑겹바지 | 눈 배경 | - |  | FW_Pants
HLP011 | W | Expedition-Alpinist | - | 나일론겹바지 | 눈 배경 | - |  | FW_Pants
HLP200 | C | Expedition-Alpinist | - | 쉐르파3L | 눈 배경 | - |  | FW_Pants
HLP201 | C | Expedition-Alpinist | - | 쉐르파3L | 눈 배경 | - |  | FW_Pants
HLP831 | W | Expedition-Alpinist | - | NP투톤 | 눈배경 | - | B09MB3M2WC | FW_Pants
HLP832 | W | Expedition-Alpinist | - | NP투톤 | 남극 | - | B0D4PV8Y6Q | FW_Pants
HLP833 | C | Expedition-Alpinist | - | 쉐르파3L | 눈 배경 | - | B0D62BK5HC | FW_Pants
HLP900 | C | Expedition-Alpinist | - | 쉐르파3L | 눈 배경 | - |  | FW_Pants
HLP905 | C | Expedition-Alpinist | - | 쉐르파3L | 눈 배경 | - |  | FW_Pants
HLP910 | W | Expedition-Alpinist | - | 나일론겹바지 | 눈 배경 | - |  | FW_Pants
HLP920 | M | Expedition-Alpinist | - | 립스탑겹바지 | 눈 배경 | - |  | FW_Pants
HLP999 | C | Expedition-Alpinist | - | 쉐르파3L | 눈 배경 | - |  | FW_Pants
HOF110 | W | Expedition-Hunter | 가을 : 2°C ~ 10°C | 플라넬 | 하이데저트 | EXPEDITION HUNTER | B0DTHFMFP7 | FW_Tops
HOF113 | W | Expedition-Hunter | 가을 : 2°C ~ 10°C | 플라넬 | 사격장 | EXPEDITION HUNTER | B0CJR1XYHL | FW_Tops
HOF120 | W | Expedition-Hunter | 가을 : 2°C ~ 10°C | 플라넬 | 사격장 | EXPEDITION HUNTER | B09P51H83P | FW_Tops
HOF123 | W | Expedition-Hunter | 가을 : 2°C ~ 10°C | 플라넬 | 사격장 | EXPEDITION HUNTER | B0DVYF8XG8 | FW_Tops
HOF200 | W | ??? | 가을 : 2°C ~ 10°C | 폴라플리스 | 사격장 | EXPEDITION HUNTER | B0C454WTHG | FW_Tops
HOH321 | W | Expedition-Hunter | 가을 : 2°C ~ 10°C | LT풀오버 | 사격장 | EXPEDITION HUNTER | B082MV9LVD | FW_Tops
HOH322 | W | Expedition-Hunter | 가을 : 2°C ~ 10°C | LT풀오버 | 사격장 | EXPEDITION HUNTER |  | FW_Tops
HOS219 | W | Expedition-Rider | 가을 : 2°C ~ 10°C | 폴라플리스 | 사격장 | EXPEDITION HUNTER | B0FH6DZ46M | FW_Tops
TSP600 | M | Covert | 여름 (25~30) | 라이트플렉스 | 공항 | 기존배경유지 | B0D531LN8J | Shorts_LT
TSP620 | M | Covert | 여름 (20~30) | 라이트플렉스 | 도심속 이동 | 기존배경유지 | B0DS4V7P3Y | Shorts_LT
TSP640 | M | Expedition-Alpinist | 여름 (20~30) | 라이트플렉스 | 도심속 이동 | 기존배경유지 | B0CYLHPZXY | Shorts_LT
TSP641 | M | Expedition-Alpinist | 여름 (20~30) | CN냉감 | 도심속 이동 | 기존배경유지 |  | Shorts_LT
TXS002 | M | Covert | 여름 (20~30) | PS반바지 | 도심속 이동 | 기존배경유지 |  | Shorts_LT
TXS101 | M | Expedition-Alpinist | - | PS반바지 | - | - | B0D531LN8J | Shorts_old
TXS201 | M | Covert | 여름 (20~30) | PS반바지 | 도심속 이동 | 기존배경유지 |  | Shorts_LT
TXS204 | M | Covert | 여름 (20~30) | PS반바지 | 도심속 이동 | 기존배경유지 |  | Shorts_LT
TXS303 | M | Covert | 여름 (20~30) | PS반바지 | 도심속 이동 | 기존배경유지 |  | Shorts_LT
TXS803 | M | Covert | 여름 (20~30) | 나일론컴포트 | 도심속 이동 | 기존배경유지 |  | Shorts_LT
TXS804 | M | Covert | 여름 (20~30) | PS반바지 | 도심속 이동 | 기존배경유지 |  | Shorts_LT
TXS903 | M | Covert | 여름 (20~30) | PS반바지 | 도심속 이동 | 기존배경유지 |  | Shorts_LT

Total rows parsed: 104. Showing 104. Ambiguous (확인필요): 6.
